Election Code,Election Title,County Code,County Name,Contest Code,Contest Title,Candidate Number,Candidate Name,Votes,Party Code
1001090,2020 GENERAL ELECTION,01,Jefferson,01032400,"ASSISTANT TAX ASSESSOR, BESSEMER DIVISION OF JEFFERS",001,Charles R. Winston,43946,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01032400,"ASSISTANT TAX ASSESSOR, BESSEMER DIVISION OF JEFFERS",002,Brandon Herren,35203,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01032400,"ASSISTANT TAX ASSESSOR, BESSEMER DIVISION OF JEFFERS",003,Write-In,53,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01032500,"TAX COLLECTOR, JEFFERSON COUNTY",001,J. T. Smallwood,197081,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01032500,"TAX COLLECTOR, JEFFERSON COUNTY",002,Write-In,4405,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01032600,"ASSISTANT TAX COLLECTOR, BESSEMER DIVISION OF JEFFER",001,Eric S. Burks,43854,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01032600,"ASSISTANT TAX COLLECTOR, BESSEMER DIVISION OF JEFFER",002,Delor Baumann,35189,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01032600,"ASSISTANT TAX COLLECTOR, BESSEMER DIVISION OF JEFFER",003,Write-In,78,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01032700,MEMBER JEFFERSON COUNTY BOARD OF EDUCATION PLACE 4,001,Ronnie Dixon,70698,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01032700,MEMBER JEFFERSON COUNTY BOARD OF EDUCATION PLACE 4,002,Write-In,2477,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01032800,CONSTABLE DISTRICT NO. 15,001,Rod Honeycutt,16630,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01032800,CONSTABLE DISTRICT NO. 15,002,Write-In,462,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01032900,CONSTABLE DISTRICT NO. 16,001,Joe Williams,5040,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01032900,CONSTABLE DISTRICT NO. 16,002,Write-In,39,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01033000,CONSTABLE DISTRICT NO. 44,001,Stephen A. Moseley,17897,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01033000,CONSTABLE DISTRICT NO. 44,002,Write-In,459,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01033100,CONSTABLE DISTRICT NO. 45,001,Andrea R. Carter,5323,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01033100,CONSTABLE DISTRICT NO. 45,002,Tim Anders,6403,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01033100,CONSTABLE DISTRICT NO. 45,003,Write-In,14,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01033200,CONSTABLE DISTRICT NO. 46,001,Larry Allred,18219,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01033200,CONSTABLE DISTRICT NO. 46,002,Write-In,426,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01033300,CONSTABLE DISTRICT NO. 47,001,"Gilbert F. Douglas, III",13415,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01033300,CONSTABLE DISTRICT NO. 47,002,Write-In,609,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01033400,CONSTABLE DISTRICT NO. 48,001,Jonathan O. Barbee,18182,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01033400,CONSTABLE DISTRICT NO. 48,002,Write-In,237,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01033500,CONSTABLE DISTRICT NO. 51,001,Ronnie Dixon,20707,REP
1001090,2020 GENERAL ELECTION,01,Jefferson,01033500,CONSTABLE DISTRICT NO. 51,002,Write-In,241,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01033600,CONSTABLE DISTRICT NO. 52,001,Valencia Lavender Moore,15665,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01033600,CONSTABLE DISTRICT NO. 52,002,Write-In,127,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01033700,CONSTABLE DISTRICT NO. 54,001,Robert L. Colvert III,15941,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01033700,CONSTABLE DISTRICT NO. 54,002,Write-In,152,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01033800,CONSTABLE DISTRICT NO. 55,001,Mitchell Hagood,15325,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01033800,CONSTABLE DISTRICT NO. 55,002,Write-In,60,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01033900,CONSTABLE DISTRICT NO. 56,001,Charles Winston III,17428,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01033900,CONSTABLE DISTRICT NO. 56,002,Write-In,237,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01034000,CONSTABLE DISTRICT NO. 57,001,Albert Duff,15661,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01034000,CONSTABLE DISTRICT NO. 57,002,Write-In,193,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01034100,CONSTABLE DISTRICT NO. 58,001,Tara G. Nix,15400,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01034100,CONSTABLE DISTRICT NO. 58,002,Write-In,115,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01034200,CONSTABLE DISTRICT NO. 59,001,Frederick A. Burkes,14565,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01034200,CONSTABLE DISTRICT NO. 59,002,Write-In,102,NON
1001090,2020 GENERAL ELECTION,01,Jefferson,01034300,CONSTABLE DISTRICT NO. 60,001,Wanda Faye Bryant,17087,DEM
1001090,2020 GENERAL ELECTION,01,Jefferson,01034300,CONSTABLE DISTRICT NO. 60,002,Write-In,161,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00000100,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,001,Joseph R. Biden,78754,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,00000100,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,002,Donald J. Trump,100605,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00000100,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,003,Jo Jorgensen,1920,IND
1001090,2020 GENERAL ELECTION,02,Mobile,00000100,PRESIDENT AND VICE PRESIDENT OF THE UNITED STATES,004,Write-In,504,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00100900,UNITED STATES SENATOR,001,Doug Jones,85263,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,00100900,UNITED STATES SENATOR,002,Tommy Tuberville,95717,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00100900,UNITED STATES SENATOR,003,Write-In,312,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00100910,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",001,James Averhart,78627,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,00100910,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",002,Jerry Carl,101218,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00100910,"UNITED STATES REPRESENTATIVE, 1ST CONGRESSIONAL DISTRICT",003,Write-In,174,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00101400,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1",001,Greg Shaw,111151,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00101400,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 1",002,Write-In,3742,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00101410,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2",001,Brad Mendheim,110321,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00101410,"ASSOCIATE JUSTICE OF THE SUPREME COURT, PLACE 2",002,Write-In,3606,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00102600,"COURT OF CIVIL APPEALS JUDGE, PLACE 1",001,"William C. ""Bill"" Thompson",110583,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00102600,"COURT OF CIVIL APPEALS JUDGE, PLACE 1",002,Write-In,3564,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00102700,"COURT OF CIVIL APPEALS JUDGE, PLACE 2",001,Matt Fridy,109551,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00102700,"COURT OF CIVIL APPEALS JUDGE, PLACE 2",002,Write-In,3457,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00103100,"COURT OF CRIMINAL APPEALS JUDGE, PLACE 1",001,Mary Windom,110301,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00103100,"COURT OF CRIMINAL APPEALS JUDGE, PLACE 1",002,Write-In,3333,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00103200,"COURT OF CRIMINAL APPEALS JUDGE, PLACE 2",001,Beth Kellum,109676,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00103200,"COURT OF CRIMINAL APPEALS JUDGE, PLACE 2",002,Write-In,3288,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00103600,"PRESIDENT, PUBLIC SERVICE COMMISSION",001,Laura Casey,78843,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,00103600,"PRESIDENT, PUBLIC SERVICE COMMISSION",002,Twinkle Andress Cavanaugh,98617,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00103600,"PRESIDENT, PUBLIC SERVICE COMMISSION",003,Write-In,173,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00103900,STATE BOARD OF EDUCATION MEMBER DISTRICT 1,001,Tom Holmes,39758,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,00103900,STATE BOARD OF EDUCATION MEMBER DISTRICT 1,002,Jackie Zeigler,90636,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00103900,STATE BOARD OF EDUCATION MEMBER DISTRICT 1,003,Write-In,127,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00104300,STATE BOARD OF EDUCATION MEMBER DISTRICT 5,001,Tonya Smith Chestnut,36667,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,00104300,STATE BOARD OF EDUCATION MEMBER DISTRICT 5,002,Lesa Keith,9539,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00104300,STATE BOARD OF EDUCATION MEMBER DISTRICT 5,003,Write-In,66,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00129300,"CIRCUIT COURT JUDGE, 13TH JUDICIAL CIRCUIT, PLACE 7",001,Jill P. Phillips,110384,REP
1001090,2020 GENERAL ELECTION,02,Mobile,00129300,"CIRCUIT COURT JUDGE, 13TH JUDICIAL CIRCUIT, PLACE 7",002,Write-In,3339,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511100,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1),001,Yes,118405,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511100,PROPOSED STATEWIDE AMENDMENT NUMBER ONE (1),002,No,35586,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511200,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2),001,Yes,70880,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511200,PROPOSED STATEWIDE AMENDMENT NUMBER TWO (2),002,No,66524,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511300,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3),001,Yes,94708,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511300,PROPOSED STATEWIDE AMENDMENT NUMBER THREE (3),002,No,45576,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511400,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4),001,Yes,97153,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511400,PROPOSED STATEWIDE AMENDMENT NUMBER FOUR (4),002,No,41147,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511500,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5),001,Yes,93780,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511500,PROPOSED STATEWIDE AMENDMENT NUMBER FIVE (5),002,No,37037,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511600,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6),001,Yes,93562,NON
1001090,2020 GENERAL ELECTION,02,Mobile,00511600,PROPOSED STATEWIDE AMENDMENT NUMBER SIX (6),002,No,37272,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02031500,"DISTRICT COURT JUDGE, MOBILE COUNTY, PLACE NO. 2",001,George Michael Zoghby,111661,REP
1001090,2020 GENERAL ELECTION,02,Mobile,02031500,"DISTRICT COURT JUDGE, MOBILE COUNTY, PLACE NO. 2",002,Write-In,3293,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02031600,"DISTRICT COURT JUDGE, MOBILE COUNTY, PLACE NO. 3",001,"Alan ""Big Al"" Colvin",77861,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,02031600,"DISTRICT COURT JUDGE, MOBILE COUNTY, PLACE NO. 3",002,Zack Moore,99793,REP
1001090,2020 GENERAL ELECTION,02,Mobile,02031600,"DISTRICT COURT JUDGE, MOBILE COUNTY, PLACE NO. 3",003,Write-In,144,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02031700,MOBILE COUNTY LICENSE COMMISSIONER,001,Milton L. Morrow,72953,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,02031700,MOBILE COUNTY LICENSE COMMISSIONER,002,Nick Matranga,105680,REP
1001090,2020 GENERAL ELECTION,02,Mobile,02031700,MOBILE COUNTY LICENSE COMMISSIONER,003,Write-In,116,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02031800,MOBILE COUNTY REVENUE COMMISSIONER,001,"Verjilya ""Jyl"" Hughes",70736,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,02031800,MOBILE COUNTY REVENUE COMMISSIONER,002,Kim Hastie,108374,REP
1001090,2020 GENERAL ELECTION,02,Mobile,02031800,MOBILE COUNTY REVENUE COMMISSIONER,003,Write-In,131,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02031900,MOBILE COUNTY TREASURER,001,Barbara Haston Payne,77596,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,02031900,MOBILE COUNTY TREASURER,002,Philip R. Benson,99185,REP
1001090,2020 GENERAL ELECTION,02,Mobile,02031900,MOBILE COUNTY TREASURER,003,Write-In,150,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02032000,"MEMBER, MOBILE COUNTY COMMISSION, DISTRICT NO. 1",001,Merceria Ludgood,39618,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,02032000,"MEMBER, MOBILE COUNTY COMMISSION, DISTRICT NO. 1",002,Write-In,987,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02032100,"MEMBER, MOBILE COUNTY COMMISSION, DISTRICT NO. 2",001,Connie Hudson,43604,REP
1001090,2020 GENERAL ELECTION,02,Mobile,02032100,"MEMBER, MOBILE COUNTY COMMISSION, DISTRICT NO. 2",002,Write-In,1115,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02032200,"MEMBER, MOBILE COUNTY COMMISSION, DISTRICT NO. 3",001,Jenny Arras,18504,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,02032200,"MEMBER, MOBILE COUNTY COMMISSION, DISTRICT NO. 3",002,Randall Dueitt,41610,REP
1001090,2020 GENERAL ELECTION,02,Mobile,02032200,"MEMBER, MOBILE COUNTY COMMISSION, DISTRICT NO. 3",003,Write-In,50,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02032300,MEMBER MOBILE COUNTY BOARD OF EDUCATION DISTRICT 3,001,Reginald Crenshaw,24874,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,02032300,MEMBER MOBILE COUNTY BOARD OF EDUCATION DISTRICT 3,002,Write-In,394,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02032400,MEMBER MOBILE COUNTY BOARD OF EDUCATION DISTRICT 4,001,Sherry Dillihay-McDade,19998,DEM
1001090,2020 GENERAL ELECTION,02,Mobile,02032400,MEMBER MOBILE COUNTY BOARD OF EDUCATION DISTRICT 4,002,Jeffery Ray Jones,8726,REP
1001090,2020 GENERAL ELECTION,02,Mobile,02032400,MEMBER MOBILE COUNTY BOARD OF EDUCATION DISTRICT 4,003,Write-In,32,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02032500,"CONSTABLE, MOBILE COUNTY, PRECINCT NO. 1",001,Write-In,27,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02032600,"CONSTABLE, MOBILE COUNTY, PRECINCT NO. 2",001,Write-In,88,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02032700,"CONSTABLE, MOBILE COUNTY, PRECINCT NO. 4",001,Write-In,53,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02032800,"CONSTABLE, MOBILE COUNTY, PRECINCT NO. 5",001,Write-In,27,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02032900,"CONSTABLE, MOBILE COUNTY, PRECINCT NO. 6",001,Jonathan L. Richie,1843,REP
1001090,2020 GENERAL ELECTION,02,Mobile,02032900,"CONSTABLE, MOBILE COUNTY, PRECINCT NO. 6",002,Write-In,17,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02033000,"CONSTABLE, MOBILE COUNTY, PRECINCT NO. 7",001,Kyle Jackson,2128,REP
1001090,2020 GENERAL ELECTION,02,Mobile,02033000,"CONSTABLE, MOBILE COUNTY, PRECINCT NO. 7",002,Write-In,20,NON
1001090,2020 GENERAL ELECTION,02,Mobile,02033100,"CONSTABLE, MOBILE COUNTY, PRECINCT NO. 8",001,"Harry W. Bachus, Jr.",1403,REP
